sample_id,question,first_search_call,error_mode
WebQTrn-1841_8df543a977cf8e7f362482a73cab35d0,What is the popular sport that was founded earliest in Spain?,"get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTrn-241_e4ddf37f1344bc533ac60131a15569f9,What nation that neighbors France is the home of Prignon FantÃ´me La Gourmande beer?,"get_tail_entities(France, Location.administrative_divisions)",wrong-relation
WebQTest-759_33c0a2138ef3f4a4f61dbee8dc9714e5,"Who has Brad Pitt dated in the past, and was into Buddhism?","get_tail_entities(Brad Pitt, film.performance.actor)",genuine-kg-miss
WebQTrn-831_0c00254aab32e227002a70740c5cc921,"What is the latest movie that the actor, who also played Emily-Jackson-Jacks, starred in?","get_tail_entities(Emily-Jackson-Jacks, film.performance.character)",wrong-entity
WebQTrn-3605_da0c36850947f49fa1f94f4fd744cf3b,Which high school was attended by the person who was nominated for an award for Chapter V?,"get_tail_entities(Chapter V, type)",wrong-relation
WebQTest-1387_9bff9b3325534dae4908b820d4364101,"What is the time zone in the location of the film ""Shoot Em Up""?","get_tail_entities(Shoot Em Up, film.film.featured_film_locations)",format-mismatch
WebQTrn-1677_07b09c54d5283ed75072069f25c48469,"What movies, released before April 17, 2015, did Adam Sandler play in?","get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-1557_83b3d35e3fcf2d866fb2ab3dc21034c0,What college with the least number of undergraduates did Charles Drew attend?,"get_tail_entities(Charles Drew, education)",wrong-entity
WebQTest-1797_cd2ffcb3be5bcfdcbc61ea440aca05e3,Which politician who fought in the Battle of Vicksburg entered office first?,"get_tail_entities(Battle of Vicksburg, event.included_in_event)",wrong-entity
WebQTrn-567_2a2de50d3b65cc5d2c88f54e283a4b8a,What movie released to video did Ron Howard do?,"get_tail_entities(Ron Howard, film)",wrong-relation
WebQTest-213_facc2f7bae94c21d7ada586512f36c67,"Who produced the movie ""August"" and dated Scarlett Johansson?","get_tail_entities(Scarlett Johansson, film)",wrong-relation
WebQTest-1965_b7c82cd0420f9f1934037e1625db4685,Who did the voice for Lola Bunny and was nominated for a BAFTA award?,"get_tail_entities(BAFTA Award, type)",wrong-entity
WebQTest-1528_2f6fb6d585b98261a3ae6d2a112a4c91,What movie starring Logan Lerman that was edited by Thomas J Nordberg?,"get_tail_entities(Logan Lerman, film)",wrong-relation
WebQTrn-1677_e3e49622bef77e700894cb4264a4a42d,What baseball movie did Adam Sandler play in?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-423_7fff0409c31ee1a4d75cacbbb2f8d816,"What Laughlin, Nevada popular attraction was launched in 1966?","get_tail_entities(Laughlin, Nevada)",wrong-relation
WebQTrn-1677_2a3a93e58514bc11e89747fcb3188226,"Which movies did Adam Sandler act in, that was directed by Frank Coraci?","get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-1812_15f60e5f0f3604ea4e91cd75c8c89a85,"Of the countries that are in the Caribbean, which has the Dutch Language as an official language?","get_tail_entities(Caribbean, organization_scope)",wrong-relation
WebQTrn-3083_c2a695d13a6620d180fec4f94dfe9f9b,In the year 1948 who was the leader of the cuntry where the Chuvash language is used?,"get_tail_entities(1948, time.event.locations)",wrong-entity
WebQTest-100_3fd000b7cbc17c620bb91588e1c3cda3,What is the current main speech medium in Haiti?,"get_tail_entities(Haiti, Location.administrative_divisions)",wrong-relation
WebQTest-537_a52d362d7abdae05ae86743bdb72a808,"What movie has Charlie Hunnam been in, and the netflix_id is smallest?","get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTest-1348_5ffc0cd6eeaac072e00525704c710951,Which 1961 founded team did Peyton Manning's father play for?,"get_tail_entities(Peyton Manning, sports.sports_team_roster.player)",genuine-kg-miss
WebQTrn-1677_80066cc2617f4e1301adab9b3e951711,What is the earlies movie released to feature Adam Sandler?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-1405_b98a27e21e904173168eb7517b123e51,Where did President Kennedy go to school that has less than 2416 postgraduates?,"get_tail_entities(John F. Kennedy, film)",wrong-relation
WebQTrn-1532_7be2e3bf2a96cf21e0a1011841c6db76,"Which university did Harry S. Truman attend, that has less than 9,381 undergraduates?","get_tail_entities(Harry S. Truman, film)",wrong-relation
WebQTest-1348_aaea2f2132c4959cb6212b418a40c985,For what teams did the father of the actor in the movie NFL Insider play?,"get_tail_entities(NFL Insider, media_common.quotation_source.quotations)",wrong-relation
WebQTrn-2286_56479abdf8de613c8157280a9f1d1d1d,What's the location of the governmental jurisdiction in which there's a governmental body called Kentucky House of Representatives?,"get_tail_entities(Kentucky House of Representatives, organization.leadership)",wrong-relation
WebQTrn-1629_78cb2280db26c05fdc9b59622dc04611,Who played in the Forbidden Zone and is the voice of Jack Skellington?,"get_tail_entities(Jack Skellington, film)",wrong-relation
WebQTest-983_a4f4a46401a4dd8b2eb579dfc1290e0e,Which university attended by Tennessee Williams has more than 23799 undergraduates?,"get_tail_entities(Tennessee Williams, film)",wrong-relation
WebQTest-537_b7771109a84a9b56518460dc9e8878ff,What Charlie Hunnam work was production designed by Geoffrey Kirkland?,"get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTrn-849_eba7931ddf28af4dfa20fb099196c91f,What country bordering Germany that involved in the Gulf War?,"get_tail_entities(Germany, Location.administrative_divisions)",wrong-relation
WebQTest-538_74d534175719a2af18925085b2e1f726,Which film featuring Taylor Swift was written by Dan Berendsen?,"get_tail_entities(Taylor Swift, film)",wrong-relation
WebQTrn-837_b5a16676e03dc3374f767914e2292443,What school Jennifer Hudson attended has an NCES school ID of 170993000588?,"get_tail_entities(Jennifer Hudson, film)",wrong-relation
WebQTest-538_dfc99f6e8277309985f191b4575cee66,What is the latest film that was released starring Taylor Swift?,"get_tail_entities(Taylor Swift, film)",wrong-relation
WebQTest-1705_35c94dc6944d964963b44949d8ed512c,Where did the composer of What She Came From come from?,"get_tail_entities(What She Came From, music.composition.composer)",wrong-entity
WebQTest-538_82ccd8edba1636ce0563a04fba26099b,Which movies directed by Chris Renaud have featured Taylor Swift?,"get_tail_entities(Taylor Swift, film)",wrong-relation
WebQTrn-25_f65ceb2f4ef98392b0177705932740a5,What other movies has the actor that played the character Eliot Murtaugh play in?,"get_tail_entities(Eliot Murtaugh, film.performance.film)",wrong-entity
WebQTrn-849_e07b3359e02a6d6ceb68871f1dad7072,Which country that held the Ayrault Government legislative session borders Germany?,"get_tail_entities(Germany, Location.administrative_divisions)",wrong-relation
WebQTrn-1278_1ef455d28d4c19f07ec1bf5ca5bad8c3,Who are the people the actor who played Ezekiel 'Spoon' Whitmore has dated?,"get_tail_entities(Ezekiel 'Spoon' Whitmore, film_character.appeared_in_films)",wrong-relation
WebQTrn-241_b96b735d1d754f27bc8986b614669f7b,"What countries bordering the location of the film ""Amen""?","get_tail_entities(Countries Used, schema.context.schema)",wrong-entity
WebQTrn-2570_719a19b4c8ab7d1b27c9529c394743ef,"What was the name of the president during World War II who left the position after April 12, 1945?","get_tail_entities(World War II, type)",wrong-relation
WebQTest-1528_4d68dbe4294e979290940881e3008e0d,What movie was Logan Lerman in that was decorated by Barry Greaves?,"get_tail_entities(Logan Lerman, film)",wrong-relation
WebQTest-1603_5aabdab4c50d62388224ccc564a50535,What sacred Daoist text had an influence on Jorge Luis Borges?,"get_tail_entities(Jorge Luis Borges, type)",wrong-relation
WebQTest-1785_98806527b045c387792db297c407c023,Which film starring Kim Richards has the largest Netflix ID?,"get_tail_entities(Kim Richards, film.performance.actor)",genuine-kg-miss
WebQTest-983_3caa263f40808e17c9c54948505772ee,What college Tennessee Williams attended is a university with fewer than 6439 postgraduates enrolled?,"get_tail_entities(Tennessee Williams, education)",wrong-relation
WebQTest-561_87feb43d4b743e2f0172e00f50bfada2,"When was the person who said ""seriously, I do not think I'm fit for the presidency"" president?","get_tail_entities(Seriously, I don't think I'm fit for the presidency.)",wrong-entity
WebQTrn-64_4b7058a69c5eb71df36a89837b1e4f60,What was the name of the composer who wrote Papa'z Song?,"get_tail_entities(Papa's Song, music.composition.composer)",wrong-entity
WebQTrn-1677_9dd205fdfa5075d2f97abec58868d9c9,What Adam Sandler movie is in the Dutch language?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-2152_52aec0171d93064e46b6e747d8d82010,Which team from the American League West was founded the most recently?,"get_tail_entities(American League West, sports.sports_league_division.teams)",wrong-relation
WebQTest-1560_2d851e09c04c135c6499a8e7bcf24ee9,What founder of New York University had a position in the 4th United States Congress?,"get_tail_entities(New York University, organization.organization_founders)",wrong-relation
WebQTest-1923_4dc293c98f6d58868f7b2d33a7e06f2e,What movie was about the korean war and featued actress Miley Cyrus?,"get_tail_entities(Miley Cyrus, film)",wrong-relation
WebQTrn-1677_33b7d857b3156faee9cb6c16741d8b6a,What Adam Sandler movie had cinematography done by Dean Semler?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-1405_56e8d2e51ce1a46013d0176a58f8d5b3,"Where did the President who ""An American Affair"" is about go to college?","get_tail_entities(An American Affair, media_common.quotation.author)",wrong-relation
WebQTest-965_6149d3b479edde0d00035aa61c2a4a36,"Where did the person about whom the movie ""The Diary of Anne Frank"" was made go to school?","get_tail_entities(The Diary of Anne Frank, film_cut.film)",wrong-relation
WebQTest-1560_540272628a3440c1e3ee0d073a890920,Who is the person that wrote a Vocabulary of Seneca and founded New York University?,"get_tail_entities(New York University, type)",wrong-relation
WebQTrn-2006_d6eeef75a363b8c5bf405ea3b0684cfc,"For what magazines did the subject of the film ""The Raven"" work?","get_tail_entities(The Raven, film)",wrong-relation
WebQTest-783_b181354faec01d121c5f050e0d0da2fd,"What county in Texas is the location where the movie ""Puncture"" takes place?","get_tail_entities(Texas, Location.containedby)",wrong-entity
WebQTest-1785_f4a57ff81e8f60ff90735c3e1206bdc3,What film starring Kim Richards that was released on 3-21-1975?,"get_tail_entities(Kim Richards, film.performance.actor)",genuine-kg-miss
WebQTrn-1677_e171598f0904aa80515342263bc45547,What movie produced by John Schneider was Adam Sandler in?,"get_tail_entities(John Schneider, film)",wrong-relation
WebQTrn-1841_2f402f2c0487977d71bf7076a8db1e97,Which Spanish sports teams were founded after 1994?,"get_tail_entities(Spain, Location.administrative_divisions)",wrong-relation
WebQTest-537_743ff6362bb2b9e550d92e0dc9b8b063,What movie starring Charlie Hunnam that had John Mathieson as the cinematographer?,"get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTrn-25_a87e077f0e759349480a544bd66cfe40,In which thriller movies does Taylor Lautner appear?,"get_tail_entities(Taylor Lautner, film)",wrong-relation
WebQTrn-124_5e89e91ab1c8fd1eea3f415d52cb4738,What movie was directed by Angelina Jolie and directed by Mick Garris?,"get_tail_entities(Angelina Jolie, film.performance.actor)",genuine-kg-miss
WebQTrn-567_a597ad8a4ef31ad09f1765593d4e7fcc,Which movies featuring the work of Ron Howard has the shortest run time?,"get_tail_entities(Ron Howard, film)",wrong-relation
WebQTrn-1677_f440937e3c93270055861e78bf0e0c9a,What other movies is the person who plays Charlie Fineman in?,"get_tail_entities(Charlie Fineman, film.performance.film)",wrong-relation
WebQTrn-124_0ebb5db67d331752adddbe06bca557fc,What movie directed by Angelina Jolie that was released after 12-22-2011?,"get_tail_entities(Angelina Jolie, film.performance.actor)",genuine-kg-miss
WebQTest-213_4d64427814a804819d7bd73a4187dbe2,"Who did Scarlett Johansson date that was an actor in the movie ""The Croods 2""?","get_tail_entities(Scarlett Johansson, film)",wrong-relation
WebQTrn-124_405a78f132e69f4771aff40d07cd0294,"Which movie did Angelina Jolie direct, that was produced by Erwin Stoff?","get_tail_entities(Angelina Jolie, film)",wrong-relation
WebQTest-1376_f46d89a2e7090339e748bcf7dbd14692,"In which province, is the location that has a governmental body called, Montreal Executive Committee?","get_tail_entities(Montreal, Location.containedby)",wrong-entity
WebQTrn-3049_ae2f0556c44ee8e111f11615ad14f9d8,For what is the area where the newspaper Creative Loafing circulates famous?,"get_tail_entities(Creative Loafing, organization.headquarters)",wrong-relation
WebQTrn-1677_a3f3297c1fb33fa36090e79b89b6690c,What Adam Sandler movie had cinematography done by Michael Barrett?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTrn-1939_87feb43d4b743e2f0172e00f50bfada2,"What political experience did the person have who said, ""Seriously, I do not think I fit for the presidency""?","get_tail_entities(Seriously, I do not think I fit for the presidency.)",wrong-entity
WebQTest-1785_64f7f636c2ecaa51fcf62618fe76820a,Which movie did Kim Richards appear in and had a length of 112.0 minutes?,"get_tail_entities(Kim Richards, film)",wrong-relation
WebQTrn-452_576be7cca909b5ccf4bbd2bcc0249607,Where does Lala Anthony live where the GNIS feature ID is the smallest?,"get_tail_entities(Lala Anthony, film.performance.actor)",wrong-entity
WebQTest-213_0739c226a0ca72de240018da832e1221,"Who did Scarlett Johansson date that played in the movie ""Wild Horses""?","get_tail_entities(Scarlett Johansson, film)",wrong-relation
WebQTrn-241_4982d29236a4ba64c2f0439d263f23aa,"On the countries that share a border with France, which country has the smallest army?","get_tail_entities(France, Location.administrative_divisions)",wrong-relation
WebQTrn-3249_8854b6b321c9e210d83c0419d6d3b4c5,Which shows did the actor who played the character Danielle Warren play in?,"get_tail_entities(Danielle Warren, film)",wrong-relation
WebQTest-1012_73741811f34519b29f7d19ccfd4d9553,"What structure opened in 1922 in Hollywood, CA?","get_tail_entities(Los Angeles, location.containedby)",wrong-entity
WebQTest-1528_f8024d5f486967b395064aa07aa52d6e,"In which movie did Logan Lerman act in, that was written by Andrew Davies?","get_tail_entities(Logan Lerman, film)",wrong-relation
WebQTrn-1812_93d2e88cddc04bc55b23c31bab096e16,Which Caribbean country has the largest calling code?,"get_tail_entities(Caribbean, type)",wrong-relation
WebQTrn-3376_118a81ac3fc08ca8590bf8be836d1be1,What school attended by Kevin Hart had an organizational founding date of 1929?,"get_tail_entities(Kevin Hart, film)",wrong-relation
WebQTrn-2784_b64250ae3c9d6c724133d09dad5593ec,What movie featuring Tupac was directed by Kirk M. Petruccelli?,"get_tail_entities(Tupac Shakur, film)",wrong-relation
WebQTest-537_21673ea221c99d3d37931bb684325f49,What film featuring Charlie Humman has the earliest release date?,"get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTrn-3098_530c9b007d2e31175fa177ade7ae14ab,"Where was the person born that said ""Eat to please thyself, but dress to please others.""?","get_tail_entities(Eat to please thyself, but dress to please others.)",wrong-entity
WebQTest-537_74f1761f9f9f53428fd2495202e0290f,Which movie edited by Bernat Vilaplana was Charlie Hunnam in?,"get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTrn-62_bce88015327268bc8f081292e2c80dcd,"Which of Walt Disney kids, who'c date of death is before November 19, 2013?","get_tail_entities(Walt Disney, film)",wrong-relation
WebQTrn-1677_87deda135e48fdbc80ef86a95018f5c9,In which fantasy movies has Adam Sandler appeared?,"get_tail_entities(Adam Sandler, film)",wrong-relation
WebQTest-538_e92ac6479096acfc8a23fa7ff3fa1b37,"Which movie was Taylor Swift in, that debuted at Ziegfeld Theatre?","get_tail_entities(Taylor Swift, film)",wrong-relation
WebQTest-1379_255da87c2560e4248091e82a1c0686c5,"What was Franz Liszt' career that had him ending up leading a religious organization before March 27, 1993?","get_tail_entities(Franz Liszt, music.composer.compositions)",wrong-entity
WebQTest-213_87ffe7c3404a14f726cc54ae6d6a6057,Who dated the nominee of the Theater World Award?,"get_tail_entities(Theater World Award, type)",wrong-entity
WebQTest-712_d32363ebe2efd4cc816af57934dae747,What countries with calling codes over 677 have territories in Oceania?,"get_tail_entities(Oceania, type)",wrong-relation
WebQTest-712_810a930318378edecdffe4b349276794,What country that is located in Oceania with the largest ISO numeric number?,"get_tail_entities(Oceania, type)",wrong-relation
WebQTrn-124_24e0665d6867419f9f3d2e4a2c1a997f,What movie was direct by Angelina Jolie and also included Laua Hollenbrand as an author?,"get_tail_entities(Angelina Jolie, film.performance.actor)",genuine-kg-miss
WebQTrn-2653_7a1f9047f5100e2853d54d69c6793f2d,"In what wars has the government where the French Minister of the Economy, Finance and Industry is in office fought?","get_tail_entities(French Minister of the Economy, Finance and Industry)",wrong-entity
WebQTrn-3034_0e7444ddeac8c5f9b236df292cb8ba04,"Where did the artist nominated for an award for ""Why I Oppose the War in Vietnam"" get his doctorate?","get_tail_entities(Why I Oppose the War in Vietnam, type)",wrong-relation
WebQTest-537_153e44a43ac711a8a5f9f24667ba66ec,"What has Charlie Hunnam acted in, as well as the movie that Emily Coutts played in?","get_tail_entities(Charlie Hunnam, film)",wrong-relation
WebQTest-561_5096e7f87655bfead420edf88c0629f0,In what years was the main character of Gore Vidal's movie Lincoln president?,"get_tail_entities(Gore Vidal, film)",wrong-entity
WebQTrn-3249_a5b4b068155de58edc7e632f9bece371,What TV Drama show does Tamera Mowry act on?,"get_tail_entities(TV Drama, type.type.domain)",wrong-entity
WebQTest-1686_66d1d64f0a7a4de1241baa7f8b34c42a,Who was the governor at the same time that the 20th Arizona Territorial Legislature was in session?,"get_tail_entities(20th Arizona Territorial Legislature, organization.leadership.role)",genuine-kg-miss
WebQTrn-3084_c48e6de5044e564c757dd8332cdd7570,Which country that has the administrative division of United Arab Emirates does Japan export to?,"get_tail_entities(Japan, Location.administrative_divisions)",wrong-relation
WebQTrn-1532_44fde88468878cac60f3380a368f4f7f,What university wer at some point attended by Harry S. Truman?,"get_tail_entities(Harry S. Truman, film)",wrong-entity
WebQTest-1785_af362c96a2cac646e86161f0f87a1a9b,What television film was Kim Richard starred in?,"get_tail_entities(Kim Richard, film.performance.actor)",wrong-entity
WebQTrn-3226_938e33c523abe9c97a8bcd68f436c773,What acrtess is featured in a movie that had Phil Dagort as a crew member?,"get_tail_entities(Phil Dagort, film)",wrong-relation
WebQTest-1923_dee4b5d50db015ba91d5f2aeeb876f27,What movie starring Mylie Cyrus that features the song Gotta Go My Own Way?,"get_tail_entities(Miley Cyrus, film)",wrong-relation
WebQTest-1785_a46f6053d6c82eaf3574d4a8853999c3,What Kim Richards film is 111.0 minutes long?,"get_tail_entities(Kim Richards, film.performance.actor)",genuine-kg-miss
WebQTest-1528_c3a338c3684d073518350521455aaa8f,"In which movies, does Logan Lerman act in, that was production designed by Andrew Menzies?","get_tail_entities(Logan Lerman, film)",wrong-relation
WebQTrn-3384_8728d31e67df2c6d6395deed585552cc,"Which language do people from Denmark speak, and that start with the initials, fa?","get_tail_entities(Denmark, Location.administrative_divisions)",wrong-relation
